"","Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","ID","F_OOB","F_OOS"
"1","GCW","W",2022-06-01,"CS EE181",NA,NA,NA,22.68,"wx_tempavg15","eeb1c3ab68245b3d",0,0
"2","GCW","W",2022-06-01 00:15:00,"CS EE181",NA,NA,NA,22.6,"wx_tempavg15","a6c2c61d83a39384",0,0
"3","GCW","W",2022-06-01 00:30:00,"CS EE181",NA,NA,NA,22.53,"wx_tempavg15","beb9608bd46e119f",0,0
"4","GCW","W",2022-06-01 00:45:00,"CS EE181",NA,NA,NA,22.55,"wx_tempavg15","26d76ddfce666d7d",0,0
"5","GCW","W",2022-06-01 01:00:00,"CS EE181",NA,NA,NA,22.41,"wx_tempavg15","1457b026b93cf6a6",0,0
"6","GCW","W",2022-06-01 01:15:00,"CS EE181",NA,NA,NA,22.35,"wx_tempavg15","8db6e964a5323936",0,0
"7","GCW","W",2022-06-01 01:30:00,"CS EE181",NA,NA,NA,22.23,"wx_tempavg15","cdf22c3cad9b8bf0",0,0
"8","GCW","W",2022-06-01 01:45:00,"CS EE181",NA,NA,NA,22.2,"wx_tempavg15","bd7b01c9e3069d50",0,0
"9","GCW","W",2022-06-01 02:00:00,"CS EE181",NA,NA,NA,22.2,"wx_tempavg15","b1fa84f992b931db",0,0
"10","GCW","W",2022-06-01 02:15:00,"CS EE181",NA,NA,NA,22.21,"wx_tempavg15","6b91f79bf230b1fd",0,0
"11","GCW","W",2022-06-01 02:30:00,"CS EE181",NA,NA,NA,22.23,"wx_tempavg15","281ebce6b657902b",0,0
"12","GCW","W",2022-06-01 02:45:00,"CS EE181",NA,NA,NA,22.07,"wx_tempavg15","208b0c70433c682c",0,0
"13","GCW","W",2022-06-01 03:00:00,"CS EE181",NA,NA,NA,21.89,"wx_tempavg15","668ec525a328ee17",0,0
"14","GCW","W",2022-06-01 03:15:00,"CS EE181",NA,NA,NA,21.89,"wx_tempavg15","1bd6bcb70c0912d9",0,0
"15","GCW","W",2022-06-01 03:30:00,"CS EE181",NA,NA,NA,21.85,"wx_tempavg15","3a617de83dbdc8b9",0,0
"16","GCW","W",2022-06-01 03:45:00,"CS EE181",NA,NA,NA,21.83,"wx_tempavg15","fecff41db4181878",0,0
"17","GCW","W",2022-06-01 04:00:00,"CS EE181",NA,NA,NA,21.66,"wx_tempavg15","01ec219015c5cbef",0,0
"18","GCW","W",2022-06-01 04:15:00,"CS EE181",NA,NA,NA,21.54,"wx_tempavg15","f41463958d32fbe2",0,0
"19","GCW","W",2022-06-01 04:30:00,"CS EE181",NA,NA,NA,21.62,"wx_tempavg15","1be92c677b17b7af",0,0
"20","GCW","W",2022-06-01 04:45:00,"CS EE181",NA,NA,NA,21.74,"wx_tempavg15","a4af346f2bb64118",0,0
"21","GCW","W",2022-06-01 05:00:00,"CS EE181",NA,NA,NA,21.85,"wx_tempavg15","d9a7c6cf0b541410",0,0
"22","GCW","W",2022-06-01 05:15:00,"CS EE181",NA,NA,NA,22.31,"wx_tempavg15","a055ec857e3ef7a4",0,0
"23","GCW","W",2022-06-01 05:30:00,"CS EE181",NA,NA,NA,22.7,"wx_tempavg15","20b10880d6563ce1",0,0
"24","GCW","W",2022-06-01 05:45:00,"CS EE181",NA,NA,NA,22.98,"wx_tempavg15","8f6ff098d831c538",0,0
"25","GCW","W",2022-06-01 06:00:00,"CS EE181",NA,NA,NA,23.38,"wx_tempavg15","523cbb748c764df7",0,0
"26","GCW","W",2022-06-01 06:15:00,"CS EE181",NA,NA,NA,23.6,"wx_tempavg15","4a9aab44322502cc",0,0
"27","GCW","W",2022-06-01 06:30:00,"CS EE181",NA,NA,NA,23.93,"wx_tempavg15","7770a8360f3d1e31",0,0
"28","GCW","W",2022-06-01 06:45:00,"CS EE181",NA,NA,NA,24.9,"wx_tempavg15","7d0a1839c1f7d7da",0,0
"29","GCW","W",2022-06-01 07:00:00,"CS EE181",NA,NA,NA,25.74,"wx_tempavg15","0f170d6222f86c19",0,0
"30","GCW","W",2022-06-01 07:15:00,"CS EE181",NA,NA,NA,26.3,"wx_tempavg15","39d7207db2a8f63a",0,0
"31","GCW","W",2022-06-01 07:30:00,"CS EE181",NA,NA,NA,26.95,"wx_tempavg15","0d491ff23c34aefa",0,0
"32","GCW","W",2022-06-01 07:45:00,"CS EE181",NA,NA,NA,27.59,"wx_tempavg15","b7facbe1fb92bcc7",0,0
"33","GCW","W",2022-06-01 08:00:00,"CS EE181",NA,NA,NA,28.07,"wx_tempavg15","3cc61d50e8faddbb",0,0
"34","GCW","W",2022-06-01 08:15:00,"CS EE181",NA,NA,NA,28.54,"wx_tempavg15","132036dc208485b6",0,0
"35","GCW","W",2022-06-01 08:30:00,"CS EE181",NA,NA,NA,29.02,"wx_tempavg15","f095ab5fe9beb525",0,0
"36","GCW","W",2022-06-01 08:45:00,"CS EE181",NA,NA,NA,29.56,"wx_tempavg15","62b9feff3d68ce10",0,0
"37","GCW","W",2022-06-01 09:00:00,"CS EE181",NA,NA,NA,30.09,"wx_tempavg15","01800b99c7bbc25a",0,0
"38","GCW","W",2022-06-01 09:15:00,"CS EE181",NA,NA,NA,30.41,"wx_tempavg15","ed449586ca889e7d",0,0
"39","GCW","W",2022-06-01 09:30:00,"CS EE181",NA,NA,NA,30.74,"wx_tempavg15","a44b567268c68340",0,0
"40","GCW","W",2022-06-01 09:45:00,"CS EE181",NA,NA,NA,30.91,"wx_tempavg15","78a67a8d873d7cc9",0,0
"41","GCW","W",2022-06-01 10:00:00,"CS EE181",NA,NA,NA,31.16,"wx_tempavg15","2424a9b956f86f4c",0,0
"42","GCW","W",2022-06-01 10:15:00,"CS EE181",NA,NA,NA,31.31,"wx_tempavg15","22258430b729b142",0,0
"43","GCW","W",2022-06-01 10:30:00,"CS EE181",NA,NA,NA,31.39,"wx_tempavg15","be663d2b1ebf031e",0,0
"44","GCW","W",2022-06-01 10:45:00,"CS EE181",NA,NA,NA,31.88,"wx_tempavg15","c7fe9f53c49edabd",0,0
"45","GCW","W",2022-06-01 11:00:00,"CS EE181",NA,NA,NA,31.96,"wx_tempavg15","f25287bfe85a8f2e",0,0
"46","GCW","W",2022-06-01 11:15:00,"CS EE181",NA,NA,NA,32.38,"wx_tempavg15","df4ce72ba0038c0c",0,0
"47","GCW","W",2022-06-01 11:30:00,"CS EE181",NA,NA,NA,32.65,"wx_tempavg15","791f6c39bb160f77",0,0
"48","GCW","W",2022-06-01 11:45:00,"CS EE181",NA,NA,NA,32.65,"wx_tempavg15","a289c57be5321c20",0,0
"49","GCW","W",2022-06-01 12:00:00,"CS EE181",NA,NA,NA,32.75,"wx_tempavg15","1dba786f49de0175",0,0
