"","day","Sensor_ID","Location","sapflow_2.5cm","soil_vwc_15cm","soil_vwc_30cm","soil_vwc_5cm","wx_par_den15","wx_tempavg15","wx_windspeed15","Plot","Tree_ID","Species","Grid_Square","DBH_2021","BA"
"1",2022-06-01,"C1","F5",0.522934426229508,0.337352742374707,0.362841957213115,0.353033153229508,815.278163934426,29.6977049180328,0.76359304895082,"Control",1384,"LITU","F5",47.1,2218.41
"2",2022-06-01,"C10","D4",0.682459016393443,0.339831256191544,0.3759175045,0.333069996311475,815.278163934426,29.6977049180328,0.76359304895082,"Control",1387,"ACRU","D4",36,1296
"3",2022-06-01,"C11","F2",0.403426229508197,0.332993794098361,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"Control",1395,"ACRU","F2",34.7,1204.09
"4",2022-06-01,"C12","G3",0.00291176470588235,0.328177418972999,0.373074674426229,0.345339442885246,815.278163934426,29.6977049180328,0.76359304895082,"Control",1328,"ACRU","G3",27.9,778.41
"5",2022-06-01,"C13","B8",0.453196721311475,0.339552022577869,0.286621398336066,0.33763791095082,815.278163934426,29.6977049180328,0.76359304895082,"Control",1407,"FAGR","B8",37.6,1413.76
"6",2022-06-01,"C14","B7",0.467180327868852,0.336388324485656,0.307483285639344,0.319286128786885,815.278163934426,29.6977049180328,0.76359304895082,"Control",1412,"FAGR","B7",25.1,630.01
"7",2022-06-01,"C15","A4",0.322360655737705,0.327713394065574,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"Control",1432,"FAGR","A4",28.5,812.25
"8",2022-06-01,"C17","F6",0.0010625,0.328215650377049,0.315719208114754,0.353621680196721,815.278163934426,29.6977049180328,0.76359304895082,"Control",1380,"FAGR","F6",44.5,1980.25
"9",2022-06-01,"C18","(out)",0.35816393442623,0.331747558833145,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"Control",1452,"FAGR",NA,45.4,2061.16
"10",2022-06-01,"C2","F5",0.611344262295082,0.337352742374707,0.362841957213115,0.353033153229508,815.278163934426,29.6977049180328,0.76359304895082,"Control",1385,"LITU","F5",39.5,1560.25
"11",2022-06-01,"C3","C5",0.31544262295082,0.335076663733848,0.349207060245902,0.282582564459016,815.278163934426,29.6977049180328,0.76359304895082,"Control",1425,"LITU","C5",47.1,2218.41
"12",2022-06-01,"C4","H4",0.371180327868852,0.318223791508197,0.331615318319672,0.340753336159836,815.278163934426,29.6977049180328,0.76359304895082,"Control",1325,"LITU","H4",48.6,2361.96
"13",2022-06-01,"C5","I3",0.00659016393442623,0.310933978329508,0.336914021721311,0.336463888147541,815.278163934426,29.6977049180328,0.76359304895082,"Control",1330,"LITU","I3",39.7,1576.09
"14",2022-06-01,"C6","B7",0.574360655737705,0.336388324485656,0.307483285639344,0.319286128786885,815.278163934426,29.6977049180328,0.76359304895082,"Control",1411,"LITU","B7",59.4,3528.36
"15",2022-06-01,"C7","B3",0.594672131147541,0.329395530540984,0.3759175045,0.333069996311475,815.278163934426,29.6977049180328,0.76359304895082,"Control",1439,"ACRU","B3",32,1024
"16",2022-06-01,"C9","(out)",0.38283606557377,0.331747558833145,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"Control",1456,"ACRU",NA,24,576
"17",2022-06-01,"F1","H5",0.470672131147541,0.316382922083693,0.311516502385246,0.335364880540984,815.278163934426,29.6977049180328,0.76359304895082,"FW",1578,"LITU","H5",67.2,4515.84
"18",2022-06-01,"F10","F8",0.733737704918033,0.311631695967213,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"FW",1546,"ACRU","F8",21.4,457.96
"19",2022-06-01,"F11","F6",0.466245901639344,0.328215650377049,0.315719208114754,0.353621680196721,815.278163934426,29.6977049180328,0.76359304895082,"FW",1548,"ACRU","F6",28.5,812.25
"20",2022-06-01,"F12","F2",0.574868852459016,0.332993794098361,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"FW",1563,"ACRU","F2",28.2,795.24
"21",2022-06-01,"F13","D6",0.439737704918033,0.340473985406385,0.307483285639344,0.319286128786885,815.278163934426,29.6977049180328,0.76359304895082,"FW",1519,"FAGR","D6",38.2,1459.24
"22",2022-06-01,"F14","D7",0.31516393442623,0.33910014027459,0.307483285639344,0.319286128786885,815.278163934426,29.6977049180328,0.76359304895082,"FW",1543,"FAGR","D7",35.5,1260.25
"23",2022-06-01,"F15","A6",0.321327868852459,0.341930564967213,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"FW",1516,"FAGR","A6",32.1,1030.41
"24",2022-06-01,"F16","H4",0.380016393442623,0.318223791508197,0.331615318319672,0.340753336159836,815.278163934426,29.6977049180328,0.76359304895082,"FW",1596,"FAGR","H4",27.2,739.84
"25",2022-06-01,"F17","I6",0.42044262295082,0.316029082983607,0.331690958819672,0.345895941606557,815.278163934426,29.6977049180328,0.76359304895082,"FW",1580,"FAGR","I6",30.5,930.25
"26",2022-06-01,"F18","H8",0.367393442622951,0.308743648744731,0.343879539901639,0.360289871967213,815.278163934426,29.6977049180328,0.76359304895082,"FW",1569,"FAGR","H8",39.9,1592.01
"27",2022-06-01,"F2","G6",0.459409836065574,0.319927608696721,0.311516502385246,0.335364880540984,815.278163934426,29.6977049180328,0.76359304895082,"FW",1576,"LITU","G6",68.8,4733.44
"28",2022-06-01,"F3","D5",0.0039672131147541,0.342170487122951,0.349207060245902,0.282582564459016,815.278163934426,29.6977049180328,0.76359304895082,"FW",1552,"LITU","D5",66.7,4448.89
"29",2022-06-01,"F4","E2",0.464639344262295,0.338401634118852,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"FW",1561,"LITU","E2",56.4,3180.96
"30",2022-06-01,"F5","G3",0.364065573770492,0.328177418972999,0.373074674426229,0.345339442885246,815.278163934426,29.6977049180328,0.76359304895082,"FW",1591,"LITU","G3",79.8,6368.04
"31",2022-06-01,"F6","D6",0.390885245901639,0.340473985406385,0.307483285639344,0.319286128786885,815.278163934426,29.6977049180328,0.76359304895082,"FW",1551,"LITU","D6",52.7,2777.29
"32",2022-06-01,"F7","B5",0.500393442622951,0.326199299544262,0.349207060245902,0.282582564459016,815.278163934426,29.6977049180328,0.76359304895082,"FW",1520,"ACRU","B5",25.4,645.16
"33",2022-06-01,"F8","B4",0.677098360655738,0.32461434332377,0.3759175045,0.333069996311475,815.278163934426,29.6977049180328,0.76359304895082,"FW",1521,"ACRU","B4",25.9,670.81
"34",2022-06-01,"F9","G3",0.529901639344262,0.328177418972999,0.373074674426229,0.345339442885246,815.278163934426,29.6977049180328,0.76359304895082,"FW",1592,"ACRU","G3",43.2,1866.24
"35",2022-06-01,"S10","G5",0.411688524590164,0.326053624017213,0.34895991707377,0.344051885143443,815.278163934426,29.6977049180328,0.76359304895082,"SW",1775,"ACRU","G5",18.4,338.56
"36",2022-06-01,"S11","F6",0.468262295081967,0.328215650377049,0.315719208114754,0.353621680196721,815.278163934426,29.6977049180328,0.76359304895082,"SW",1772,"ACRU","F6",21,441
"37",2022-06-01,"S12","F4",0.50372131147541,0.340789587852459,0.362841957213115,0.353033153229508,815.278163934426,29.6977049180328,0.76359304895082,"SW",1776,"ACRU","F4",24.7,610.09
"38",2022-06-01,"S13","A2",0.296852459016393,0.323499379885246,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"SW",1848,"FAGR","A2",35.2,1239.04
"39",2022-06-01,"S14","I2",0.323196721311475,0.31029144582582,0.336914021721311,0.336463888147541,815.278163934426,29.6977049180328,0.76359304895082,"SW",1851,"FAGR","I2",31,961
"40",2022-06-01,"S15","E4",0.305524590163934,0.348961354546161,0.386403331762295,0.352738889745902,815.278163934426,29.6977049180328,0.76359304895082,"SW",1829,"FAGR","E4",22.5,506.25
"41",2022-06-01,"S16","C2",0.324262295081967,0.336088010542474,0.3759175045,0.333069996311475,815.278163934426,29.6977049180328,0.76359304895082,"SW",1839,"FAGR","C2",28,784
"42",2022-06-01,"S17","D1",0.353098360655738,0.33663778604918,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"SW",1868,"FAGR","D1",33.1,1095.61
"43",2022-06-01,"S18","E5",0.470114754098361,0.350703492245902,0.386403331762295,0.352738889745902,815.278163934426,29.6977049180328,0.76359304895082,"SW",1780,"FAGR","E5",19.9,396.01
"44",2022-06-01,"S2","C5",0.459163934426229,0.335076663733848,0.349207060245902,0.282582564459016,815.278163934426,29.6977049180328,0.76359304895082,"SW",1790,"LITU","C5",61.7,3806.89
"45",2022-06-01,"S20","B8",0.382196721311475,0.339552022577869,0.286621398336066,0.33763791095082,815.278163934426,29.6977049180328,0.76359304895082,"SW",1749,"ACRU","B8",21.3,453.69
"46",2022-06-01,"S3","E5",0.358786885245902,0.350703492245902,0.386403331762295,0.352738889745902,815.278163934426,29.6977049180328,0.76359304895082,"SW",1783,"LITU","E5",36.9,1361.61
"47",2022-06-01,"S4","E6",0.672901639344262,0.350468307557377,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"SW",1781,"LITU","E6",50.8,2580.64
"48",2022-06-01,"S5","F5",0.378967213114754,0.337352742374707,0.362841957213115,0.353033153229508,815.278163934426,29.6977049180328,0.76359304895082,"SW",1778,"LITU","F5",44.2,1953.64
"49",2022-06-01,"S6","G6",0.395163934426229,0.319927608696721,0.311516502385246,0.335364880540984,815.278163934426,29.6977049180328,0.76359304895082,"SW",1773,"LITU","G6",49.7,2470.09
"50",2022-06-01,"S7","D7",0.498606557377049,0.33910014027459,0.307483285639344,0.319286128786885,815.278163934426,29.6977049180328,0.76359304895082,"SW",1733,"ACRU","D7",24.7,610.09
"51",2022-06-01,"S8","C6",0.487852459016393,0.338640778708197,0.307483285639344,0.319286128786885,815.278163934426,29.6977049180328,0.76359304895082,"SW",1788,"ACRU","C6",29.3,858.49
"52",2022-06-01,"S9","F2",0.606032786885246,0.332993794098361,0.340857064254298,0.333755083003898,815.278163934426,29.6977049180328,0.76359304895082,"SW",1865,"ACRU","F2",34.4,1183.36
"53",2022-06-02,"C1","F5",0.523508196721311,0.334210006855738,0.362097528360656,0.355789023754098,588.536721311475,22.9396721311475,1.06886751442623,"Control",1384,"LITU","F5",47.1,2218.41
"54",2022-06-02,"C10","D4",0.731934426229508,0.337428534725169,0.325388474081967,0.333277999737705,588.536721311475,22.9396721311475,1.06886751442623,"Control",1387,"ACRU","D4",36,1296
"55",2022-06-02,"C11","F2",0.426819672131148,0.337408188593145,0.340004506661235,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"Control",1395,"ACRU","F2",34.7,1204.09
"56",2022-06-02,"C12","G3",0.00207142857142857,0.332370589295082,0.375612255815574,0.343804185557377,588.536721311475,22.9396721311475,1.06886751442623,"Control",1328,"ACRU","G3",27.9,778.41
"57",2022-06-02,"C13","B8",0.46972131147541,0.338526980930328,0.300510984508197,0.342378494081967,588.536721311475,22.9396721311475,1.06886751442623,"Control",1407,"FAGR","B8",37.6,1413.76
"58",2022-06-02,"C14","B7",0.504737704918033,0.341307166743852,0.331347253983607,0.323833058672131,588.536721311475,22.9396721311475,1.06886751442623,"Control",1412,"FAGR","B7",25.1,630.01
"59",2022-06-02,"C15","A4",0.362,0.329514606655738,0.340004506661235,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"Control",1432,"FAGR","A4",28.5,812.25
"60",2022-06-02,"C17","F6",0.00118421052631579,0.329029589637705,0.308561054131148,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"Control",1380,"FAGR","F6",44.5,1980.25
"61",2022-06-02,"C18","(out)",0.390016393442623,0.334254660931498,0.340004506661235,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"Control",1452,"FAGR",NA,45.4,2061.16
"62",2022-06-02,"C2","F5",0.646081967213115,0.334210006855738,0.362097528360656,0.355789023754098,588.536721311475,22.9396721311475,1.06886751442623,"Control",1385,"LITU","F5",39.5,1560.25
"63",2022-06-02,"C3","C5",0.387852459016393,0.34317963078791,0.362183523459016,0.286742187852459,588.536721311475,22.9396721311475,1.06886751442623,"Control",1425,"LITU","C5",47.1,2218.41
"64",2022-06-02,"C4","H4",0.377245901639344,0.318053138548111,0.33007095170082,0.339175584704918,588.536721311475,22.9396721311475,1.06886751442623,"Control",1325,"LITU","H4",48.6,2361.96
"65",2022-06-02,"C5","I3",0.00716,0.310558605591803,0.337240917557377,0.339175584704918,588.536721311475,22.9396721311475,1.06886751442623,"Control",1330,"LITU","I3",39.7,1576.09
"66",2022-06-02,"C6","B7",0.627967213114754,0.341307166743852,0.331347253983607,0.323833058672131,588.536721311475,22.9396721311475,1.06886751442623,"Control",1411,"LITU","B7",59.4,3528.36
"67",2022-06-02,"C7","B3",0.628918032786885,0.330415650133197,0.325388474081967,0.333277999737705,588.536721311475,22.9396721311475,1.06886751442623,"Control",1439,"ACRU","B3",32,1024
"68",2022-06-02,"C9","(out)",0.402967213114754,0.334254660931498,0.340004506661235,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"Control",1456,"ACRU",NA,24,576
"69",2022-06-02,"F1","H5",0.514639344262295,0.315558777196721,0.306936897754098,0.316611505295082,588.536721311475,22.9396721311475,1.06886751442623,"FW",1578,"LITU","H5",67.2,4515.84
"70",2022-06-02,"F10","F8",0.752065573770492,0.317014081904918,0.340004506661235,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"FW",1546,"ACRU","F8",21.4,457.96
"71",2022-06-02,"F11","F6",0.529032786885246,0.329029589637705,0.308561054131148,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"FW",1548,"ACRU","F6",28.5,812.25
"72",2022-06-02,"F12","F2",0.642606557377049,0.337408188593145,0.340004506661235,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"FW",1563,"ACRU","F2",28.2,795.24
"73",2022-06-02,"F13","D6",0.458819672131148,0.347154071675205,0.331347253983607,0.323833058672131,588.536721311475,22.9396721311475,1.06886751442623,"FW",1519,"FAGR","D6",38.2,1459.24
"74",2022-06-02,"F14","D7",0.359770491803279,0.345045523366617,0.331347253983607,0.323833058672131,588.536721311475,22.9396721311475,1.06886751442623,"FW",1543,"FAGR","D7",35.5,1260.25
"75",2022-06-02,"F15","A6",0.366573770491803,0.355517832901639,0.340004506661235,0.332987833636109,588.536721311475,22.9396721311475,1.06886751442623,"FW",1516,"FAGR","A6",32.1,1030.41
"76",2022-06-02,"F16","H4",0.439786885245902,0.318053138548111,0.33007095170082,0.339175584704918,588.536721311475,22.9396721311475,1.06886751442623,"FW",1596,"FAGR","H4",27.2,739.84
