Plot,Sapflux_ID,Tree_ID,Species,Grid_Square,DBH_2021
Control,C7,1439,ACRU,B3,32
Control,C19,1451,ACRU,A1,19.1
Control,C10,1387,ACRU,D4,36
Control,C8,NA,ACRU,C4,NA
Control,C11,1395,ACRU,F2,34.7
Control,C16,1390,FAGR,E4,32
Control,C18,1452,FAGR,NA,45.4
Control,C3,1425,LITU,C5,47.1
Control,C6,1411,LITU,B7,59.4
Control,C9,1456,ACRU,NA,24
Control,C13,1407,FAGR,B8,37.6
Control,C14,1412,FAGR,B7,25.1
Control,C15,1432,FAGR,A4,28.5
Control,CD14,1412,FAGR,B7,25.1
Control,C1,1384,LITU,F5,47.1
Control,C2,1385,LITU,F5,39.5
Control,C4,1325,LITU,H4,48.6
Control,C5,1330,LITU,I3,39.7
Control,C12,1328,ACRU,G3,27.9
Control,C17,1380,FAGR,F6,44.5
Control,CD12,1328,ACRU,G3,27.9
Control,CD16,1390,FAGR,E4,32
FW,F1,1578,LITU,H5,67.2
FW,F4,1561,LITU,E2,56.4
FW,F5,1591,LITU,G3,79.8
FW,F9,1592,ACRU,G3,43.2
FW,F12,1563,ACRU,F2,28.2
FW,F16,1596,FAGR,H4,27.2
FW,FD5,1591,LITU,G3,79.8
FW,FD17,1580,FAGR,I6,30.5
FW,FD9,1592,ACRU,G3,43.2
FW,F20,1573,ACRU,I7,34.1
FW,F3,1552,LITU,D5,66.7
FW,F6,1551,LITU,D6,52.7
FW,F7,1520,ACRU,B5,25.4
FW,F8,1521,ACRU,B4,25.9
FW,F13,1519,FAGR,D6,38.2
FW,F15,1516,FAGR,A6,32.1
FW,FD7,1520,ACRU,B5,25.4
FW,F19,1559,ACRU,D2,38.7
FW,F2,1576,LITU,G6,68.8
FW,F10,1546,ACRU,F8,21.4
FW,F11,1548,ACRU,F6,28.5
FW,F14,1543,FAGR,D7,35.5
FW,F17,1580,FAGR,I6,30.5
FW,F18,1569,FAGR,H8,39.9
SW,S2,1790,LITU,C5,61.7
SW,S3,1783,LITU,E5,36.9
SW,S13,1848,FAGR,A2,35.2
SW,S15,1829,FAGR,E4,22.5
SW,S16,1839,FAGR,C2,28
SW,S17,1868,FAGR,D1,33.1
SW,SD16,1839,FAGR,C2,28
SW,S1,1771,LITU,F7,47.7
SW,S4,1781,LITU,E6,50.8
SW,S7,1733,ACRU,D7,24.7
SW,S8,1788,ACRU,C6,29.3
SW,S11,1772,ACRU,F6,21
SW,S18,1780,FAGR,E5,19.9
SW,S20,1749,ACRU,B8,21.3
SW,SD3,1783,LITU,E5,36.9
SW,S5,1778,LITU,F5,44.2
SW,S6,1773,LITU,G6,49.7
SW,S9,1865,ACRU,F2,34.4
SW,S10,1775,ACRU,G5,18.4
SW,S12,1776,ACRU,F4,24.7
SW,S14,1851,FAGR,I2,31
SW,SD12,1776,ACRU,F4,24.7
SW,S19,1835,ACRU,D2,14.2
